"receiver","hour","day","month","year"
"V2AR-546244_2020",1,218,8,2020
"V2AR-546244_2020",2,218,8,2020
"V2AR-545774_2020",5,218,8,2020
"V2AR-545578_2020",5,218,8,2020
"V2AR-545774_2020",6,218,8,2020
"V2AR-545578_2020",6,218,8,2020
"VR2W-101343_2020",16,218,8,2020
"V2AR-545782_2020",2,219,8,2020
"V2AR-546245_2020",2,219,8,2020
"V2AR-545578_2020",6,219,8,2020
"VR3-24_2019_2021",6,219,8,2020
"VR3-24_2019_2020",6,219,8,2020
"VR3-25_2019_2021",7,219,8,2020
"VR3-25_2019_2020",7,219,8,2020
"VR3-146_2019_2020_2",10,219,8,2020
"VR3-298_2018_2021",10,219,8,2020
"VR3-146_2018_2021",10,219,8,2020
"VR3-298_2019_2020_2",10,219,8,2020
"VR3-298_2019_2020_2",11,219,8,2020
"V2AR-545774_2020",15,219,8,2020
"V2AR-545774_2020",16,219,8,2020
"V2AR-546241_2020",16,219,8,2020
"V2AR-546244_2020",23,219,8,2020
"VR3-182_2019_2020_2",9,224,8,2020
"VR3-182_2017_2021",9,224,8,2020
"VR3-141_2017_2021",15,224,8,2020
"VR3-141_2019_2020_2",15,224,8,2020
"VR3-141_2019_2020_2",16,224,8,2020
"VR3-141_2017_2021",16,224,8,2020
"VR3-141_2017_2021",21,224,8,2020
"VR3-141_2019_2020_2",21,224,8,2020
"VR3-141_2019_2020_2",22,224,8,2020
"VR3-196_2019_2020_2",22,224,8,2020
"VR3-196_2017_2021",22,224,8,2020
"VR3-1_2017_2021",23,224,8,2020
"VR3-1_2019_2020_2",23,224,8,2020
"VR3-184_2019_2020_2",3,225,8,2020
"VR3-180_2019_2020_2",3,225,8,2020
"VR3-184_2017_2021",3,225,8,2020
"VR3-180_2017_2021",3,225,8,2020
"VR3-184_2017_2021",4,225,8,2020
"VR3-147_2019_2020",4,225,8,2020
"VR3-184_2019_2020_2",4,225,8,2020
"VR3-147_2018_2021",4,225,8,2020
"VR3-144_2018_2021",5,225,8,2020
"VR3-147_2019_2020",5,225,8,2020
"VR3-147_2018_2021",5,225,8,2020
"VR3-144_2019_2020",5,225,8,2020
"VR3-184_2019_2020_2",5,225,8,2020
"VR2W-128570_2019_2020",10,225,8,2020
"VR2W-128570_2019_2020",11,225,8,2020
"VR3-194_2019_2020_2",19,225,8,2020
"VR3-194_2017_2021",20,225,8,2020
"VR3-305_2019_2020_2",20,225,8,2020
"VR3-194_2019_2020_2",20,225,8,2020
"VR3-305_2017_2021",20,225,8,2020
"VR3-180_2019_2020_2",9,226,8,2020
"VR3-170_2017_2021",9,226,8,2020
"VR3-180_2017_2021",9,226,8,2020
"VR3-170_2019_2020_2",9,226,8,2020
"VR3-168_2019_2020_2",19,226,8,2020
"VR3-168_2017_2021",19,226,8,2020
"VR3-168_2017_2021",20,226,8,2020
"VR3-168_2019_2020_2",20,226,8,2020
"VR3-1_2019_2020_2",20,226,8,2020
"VR3-1_2017_2021",20,226,8,2020
"VR3-194_2017_2021",0,227,8,2020
"VR3-194_2019_2020_2",0,227,8,2020
"VR3-305_2019_2020_2",0,227,8,2020
"VR3-305_2017_2021",0,227,8,2020
"VR3-305_2017_2021",1,227,8,2020
"VR3-305_2019_2020_2",1,227,8,2020
"VR3-170_2017_2021",1,227,8,2020
"VR3-170_2019_2020_2",1,227,8,2020
"VR3-180_2019_2020_2",1,227,8,2020
"VR3-180_2019_2020_2",2,227,8,2020
"VR3-180_2017_2021",2,227,8,2020
"VR3-184_2019_2020_2",2,227,8,2020
"VR3-184_2017_2021",2,227,8,2020
"VR3-184_2017_2021",3,227,8,2020
