"model_type","response","dataset","rmse"
"gbm","logit_rel_depth","train",26.1194798093574
"gbm","depth","train",24.6501305603221
"gbm","rel_depth","train",23.8322721539393
"rf_weighted","logit_rel_depth","train",12.5219353944114
"rf","logit_rel_depth","train",11.9132668006404
"rf_weighted","rel_depth","train",10.8240349231351
"rf","rel_depth","train",10.2220658149181
"rf_weighted","depth","train",9.47569111756284
"rf","depth","train",7.62515388893606
"gbm","rel_depth","test",45.7576178189368
"gbm","logit_rel_depth","test",45.6448402726167
"gbm","depth","test",44.8533327819103
"rf_weighted","logit_rel_depth","test",44.2075413249712
"rf","logit_rel_depth","test",43.8725869351272
"rf_weighted","depth","test",42.9644438516098
"rf","depth","test",42.9276903075906
"rf_weighted","rel_depth","test",42.619214870982
"rf","rel_depth","test",42.3597954782708
